time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/value_loss,train/clip_range,train/entropy_loss,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/loss,train/approx_kl
2374,1536000,75,646,0.03162174516823143,0.2,-2.632983459830284,0.3596240282058716,740,-0.006224976105440874,0.061337890625,0.0001,-0.017379822209477425,0.019865435
2379,1556480,76,654,0.03315478053409606,0.2,-2.6360364151000977,0.3886207342147827,750,-0.006248543834662996,0.063115234375,0.0001,-0.02962084859609604,0.01771449
2383,1576960,77,661,0.03065608789678663,0.2,-2.642459135055542,0.39177441596984863,760,-0.0056837847270071505,0.0580322265625,0.0001,-0.02747999131679535,0.01827415
2388,1597440,78,668,0.036857480932958424,0.2,-2.6094447273015975,0.41522276401519775,770,-0.006720806391967926,0.054755859375,0.0001,-0.0202303659170866,0.017456952
2391,1617920,79,676,0.02470199725124985,0.2,-2.605479459166527,0.4309571385383606,780,-0.0062137279473245145,0.0657470703125,0.0001,-0.02467002347111702,0.020371715
2396,1638400,80,683,0.03501277558971196,0.2,-2.6068268072605134,0.46368497610092163,790,-0.007150260435300879,0.064365234375,0.0001,-0.015609921887516975,0.018871164
2400,1658880,81,691,0.03912613687105477,0.2,-2.6246139293909074,0.4414450526237488,800,-0.007063402671192307,0.0676123046875,0.0001,-0.02565576136112213,0.020530917
2404,1679360,82,698,0.03999141370411962,0.2,-2.6157899564504623,0.4035993814468384,810,-0.006835390048217959,0.0658544921875,0.0001,-0.02269708551466465,0.018595697
2406,1699840,83,706,0.031356936441734436,0.2,-2.614751124382019,0.39195770025253296,820,-0.004489786812628154,0.0573291015625,0.0001,-0.02427079901099205,0.017219018
2410,1720320,84,713,0.03505339754279703,0.2,-2.6195974212884905,0.40872007608413696,830,-0.005885199066542554,0.0596923828125,0.0001,-0.022025784477591515,0.016624859
2414,1740800,85,720,0.04190371972043067,0.2,-2.618090944290161,0.4308605194091797,840,-0.006473347009741701,0.055908203125,0.0001,-0.019900545477867126,0.019414613
2418,1761280,86,728,0.03827438433654606,0.2,-2.6123310166597364,0.4135781526565552,850,-0.00466185983052128,0.0648974609375,0.0001,-0.012186868116259575,0.020342113
2422,1781760,87,735,0.03386298102326691,0.2,-2.6320078402757643,0.35085880756378174,860,-0.005076081772858743,0.0603369140625,0.0001,-0.030513551086187363,0.020830918
2426,1802240,88,742,0.03540622164960951,0.2,-2.617667012214661,0.4019196629524231,870,-0.006427210425317753,0.06416015625,0.0001,-0.01611468195915222,0.018893111
2430,1822720,89,750,0.04547628903761506,0.2,-2.625173170566559,0.47017645835876465,880,-0.0052199596198624935,0.0525,0.0001,-0.008892826735973358,0.017158577
2433,1843200,90,757,0.028448013216257097,0.2,-2.6423494416475295,0.434864342212677,890,-0.006253070815291722,0.053759765625,0.0001,-0.03294353559613228,0.016282516
2437,1863680,91,764,0.03184873735532165,0.2,-2.656318048834801,0.3734779357910156,900,-0.007488664238771889,0.0718994140625,0.0001,-0.029474914073944092,0.019746
2440,1884160,92,772,0.03251554520335048,0.2,-2.650843043923378,0.3875752091407776,910,-0.006078597291489132,0.0603955078125,0.0001,-0.03587447851896286,0.019570364
2443,1904640,93,779,0.03867870078422129,0.2,-2.6445413249731065,0.36710184812545776,920,-0.005487932983378414,0.059677734375,0.0001,-0.020971300080418587,0.020121355
2446,1925120,94,786,0.036095298356376586,0.2,-2.627970967888832,0.42169445753097534,930,-0.005553125804872252,0.0556787109375,0.0001,-0.01629900187253952,0.016618382
2448,1945600,95,794,0.03713786839041859,0.2,-2.619267463684082,0.41914767026901245,940,-0.005294973071213463,0.0591845703125,0.0001,-0.0071571096777915955,0.018213326
2451,1966080,96,801,0.036911306455731395,0.2,-2.625772425532341,0.36947834491729736,950,-0.006567201641446445,0.0626171875,0.0001,-0.023091619834303856,0.01984875
2454,1986560,97,809,0.03581625354010612,0.2,-2.617911305427551,0.41578930616378784,960,-0.0062371161294868215,0.0640966796875,0.0001,-0.024369612336158752,0.01867731
2457,2007040,98,816,0.028785175099037587,0.2,-2.6254914951324464,0.3835332989692688,970,-0.0066834906800067985,0.0579541015625,0.0001,-0.028009304776787758,0.016178207
2459,2027520,99,824,0.03895191656425595,0.2,-2.622196390032768,0.4279833436012268,980,-0.005352996577857994,0.056884765625,0.0001,-0.005035867914557457,0.018866919
2463,2048000,100,831,0.04883016850333661,0.2,-2.6289315396547317,0.3917580246925354,990,-0.005037689353630412,0.05880859375,0.0001,-0.012381089851260185,0.021784727
2465,2068480,101,839,0.045197822316549716,0.2,-2.634881321191788,0.4359244108200073,1000,-0.0060338290600338955,0.0606396484375,0.0001,-0.014141997322440147,0.017559785
2468,2088960,102,846,0.038183815875090656,0.2,-2.6141975420713424,0.3754560947418213,1010,-0.006040899492218159,0.0560546875,0.0001,-0.02141042798757553,0.017728386
2471,2109440,103,853,0.03709094685968012,0.2,-2.603393636345863,0.5330840051174164,1020,-0.006321514961164212,0.053017578125,0.0001,-0.014514900743961334,0.016593114
2474,2129920,104,860,0.03421543884556741,0.2,-2.596601104140282,0.46239471435546875,1030,-0.005958554908866063,0.0593701171875,0.0001,-0.01793171651661396,0.01990677
2476,2150400,105,868,0.030734717734158038,0.2,-2.6015593820810317,0.4863640069961548,1040,-0.006127341024111956,0.058779296875,0.0001,-0.026529954746365547,0.018596683
2478,2170880,106,875,0.035627255053259435,0.2,-2.604830024242401,0.5068316161632538,1050,-0.006242768038064241,0.0639208984375,0.0001,-0.02152012288570404,0.020552209
2480,2191360,107,883,0.0436944374255836,0.2,-2.584831047654152,0.49634820222854614,1060,-0.008166523084510118,0.0697216796875,0.0001,-0.021438440307974815,0.021474367
2483,2211840,108,890,0.03863548433408141,0.2,-2.593479483127594,0.4747399687767029,1070,-0.0054819099424639715,0.0575927734375,0.0001,-0.017071638256311417,0.017302321
2485,2232320,109,898,0.036288354662247,0.2,-2.5847543448209764,0.4827086329460144,1080,-0.006377229083445854,0.0595556640625,0.0001,-0.0179387666285038,0.018753957
2488,2252800,110,905,0.03189262136816978,0.2,-2.5857283544540404,0.436687171459198,1090,-0.00426707785401959,0.061708984375,0.0001,-0.023579221218824387,0.023079542
2489,2273280,111,912,0.045364667396061126,0.2,-2.577393338680267,0.46335309743881226,1100,-0.006182893319346476,0.0597412109375,0.0001,-0.012120015919208527,0.02107424
2492,2293760,112,920,0.03841403599362821,0.2,-2.583376861810684,0.4891127943992615,1110,-0.004093486762139946,0.06001953125,0.0001,-0.016066303476691246,0.018066352
2494,2314240,113,927,0.03732612959574908,0.2,-2.5761658573150634,0.4269822835922241,1120,-0.005795991010672879,0.0633349609375,0.0001,-0.01712169125676155,0.021085162
2496,2334720,114,935,0.04229408474173397,0.2,-2.5655592000484466,0.4751269221305847,1130,-0.007268587275757454,0.0626708984375,0.0001,-0.015321947634220123,0.021290367
2498,2355200,115,942,0.04212410537526012,0.2,-2.5570727831125257,0.43824493885040283,1140,-0.0054577786754816775,0.05751953125,0.0001,-0.021547159180045128,0.021287698
2501,2375680,116,949,0.037526917546056214,0.2,-2.565729461312294,0.48227953910827637,1150,-0.005596380345523357,0.0605419921875,0.0001,-0.0079073216766119,0.020091465
2503,2396160,117,957,0.044831789727322754,0.2,-2.56852874815464,0.45464611053466797,1160,-0.006165739979187492,0.0652685546875,0.0001,-0.022354021668434143,0.01841115
2505,2416640,118,964,0.04212733483407646,0.2,-2.557670710682869,0.484998881816864,1170,-0.0059978234057780355,0.054853515625,0.0001,-0.011491041630506516,0.01715507
2507,2437120,119,972,0.04400435222778469,0.2,-2.554632489681244,0.41746270656585693,1180,-0.005611053550965152,0.053779296875,0.0001,-0.007763557136058807,0.018340576
2509,2457600,120,979,0.040827618818730115,0.2,-2.5379699063301087,0.44484347105026245,1190,-0.005414619953953661,0.0626806640625,0.0001,-0.02199948951601982,0.019370627
2511,2478080,121,986,0.03382212034892291,0.2,-2.53153534591198,0.42372000217437744,1200,-0.005800122602377087,0.056962890625,0.0001,-0.017852963879704475,0.017924462
2513,2498560,122,994,0.03424475771840662,0.2,-2.5346616107225417,0.392433226108551,1210,-0.0044798473817354535,0.05951171875,0.0001,-0.01325341034680605,0.02075291
2515,2519040,123,1001,0.02843219301663339,0.2,-2.555504460334778,0.4285741448402405,1220,-0.006328481978562195,0.0695703125,0.0001,-0.02596896141767502,0.019908149
2517,2539520,124,1008,0.05014455283991993,0.2,-2.558466672897339,0.4470939636230469,1230,-0.004841995859896997,0.057138671875,0.0001,-0.018487630411982536,0.017872654
2519,2560000,125,1016,0.04476614453829825,0.2,-2.5495490086078645,0.4797057509422302,1240,-0.005786932276387233,0.055595703125,0.0001,-0.025217901915311813,0.020288313
2520,2580480,126,1023,0.035172184566035866,0.2,-2.5696890914440154,0.4714983105659485,1250,-0.007097351798729505,0.05908203125,0.0001,-0.0242153387516737,0.023213048
2522,2600960,127,1030,0.03508921349421144,0.2,-2.588394916653633,0.4690482020378113,1260,-0.0066772615929949096,0.06349609375,0.0001,-0.009896909818053246,0.020687517
2524,2621440,128,1038,0.046559153497219084,0.2,-2.5781248396635057,0.40862178802490234,1270,-0.007277853139676153,0.064169921875,0.0001,-0.005491916090250015,0.017793965
2526,2641920,129,1045,0.03544820571318269,0.2,-2.5653120636940003,0.48690956830978394,1280,-0.007513466090604198,0.0631298828125,0.0001,-0.019621513783931732,0.01852376
2528,2662400,130,1052,0.039580974788405,0.2,-2.5636324274539946,0.4680824875831604,1290,-0.006458769055898301,0.0597216796875,0.0001,-0.026704249903559685,0.017705224
2530,2682880,131,1060,0.04481115377973765,0.2,-2.543462354540825,0.48023509979248047,1300,-0.006871503427391872,0.063427734375,0.0001,-0.013951003551483154,0.021702683
2532,2703360,132,1067,0.02707179231569171,0.2,-2.597508374452591,0.38081973791122437,1310,-0.0052998067317821555,0.0624560546875,0.0001,-0.02959214709699154,0.02133751
2534,2723840,133,1074,0.04204796092119068,0.2,-2.5441640597581863,0.457477867603302,1320,-0.006590274205955211,0.06234375,0.0001,-0.024477237835526466,0.019231874
2535,2744320,134,1082,0.04088170967064798,0.2,-2.557993549704552,0.4646327495574951,1330,-0.0062486020274809565,0.0585205078125,0.0001,-0.018769580870866776,0.019458415
2537,2764800,135,1089,0.03311633851379156,0.2,-2.561950936317444,0.38267892599105835,1340,-0.006314034562092274,0.064638671875,0.0001,-0.022515462711453438,0.01802825
2539,2785280,136,1096,0.051227245456539096,0.2,-2.5530630975961683,0.44006794691085815,1350,-0.0067243387128110045,0.0674609375,0.0001,-0.0043622273951768875,0.018294055
2540,2805760,137,1104,0.03784003235399723,0.2,-2.580749177932739,0.48768454790115356,1360,-0.006690266131190583,0.06310546875,0.0001,-0.007946079596877098,0.01830932
2542,2826240,138,1111,0.03679922487586737,0.2,-2.597661458849907,0.42162007093429565,1370,-0.005322417494026013,0.061474609375,0.0001,-0.02285720780491829,0.019839125
2544,2846720,139,1118,0.039459226713515816,0.2,-2.5904249155521395,0.504019021987915,1380,-0.005799618481250946,0.062294921875,0.0001,-0.015682106837630272,0.01973888
2545,2867200,140,1126,0.040091985259205105,0.2,-2.5845111924409867,0.44469529390335083,1390,-0.004148741607496049,0.0534912109375,0.0001,-0.012119539082050323,0.017052101
2547,2887680,141,1133,0.0353210210846737,0.2,-2.584973790049553,0.5008922219276428,1400,-0.006562476189865265,0.06087890625,0.0001,-0.020034510642290115,0.017814208
2548,2908160,142,1140,0.040320824636146425,0.2,-2.5646672689914705,0.37881964445114136,1410,-0.005996599485806655,0.063759765625,0.0001,-0.021861210465431213,0.025553709
2550,2928640,143,1148,0.049360418748110535,0.2,-2.575001423358917,0.35512036085128784,1420,-0.006200805937696714,0.0620947265625,0.0001,-0.015209652483463287,0.019583745
2552,2949120,144,1155,0.04365088681690395,0.2,-2.575089263319969,0.4455674886703491,1430,-0.00466821949579753,0.06025390625,0.0001,-0.01952885277569294,0.020453542
2553,2969600,145,1162,0.03856992745306343,0.2,-2.571667713522911,0.46168839931488037,1440,-0.006141576484369579,0.0632861328125,0.0001,-0.016705481335520744,0.020148123
2555,2990080,146,1170,0.02738203274551779,0.2,-2.58568787753582,0.4265041947364807,1450,-0.005534188622405054,0.0596240234375,0.0001,-0.01863567903637886,0.019357307
2556,3010560,147,1177,0.03253707089461386,0.2,-2.5728869849443434,0.4422154426574707,1460,-0.00557507682533469,0.06359375,0.0001,-0.01982460543513298,0.020654133
2558,3031040,148,1184,0.02839798350818455,0.2,-2.582542760968208,0.42981410026550293,1470,-0.005834240292897448,0.054765625,0.0001,-0.01425206009298563,0.019636696
2559,3051520,149,1192,0.036999380690976975,0.2,-2.565901989340782,0.4201238751411438,1480,-0.005242844922468066,0.059052734375,0.0001,-0.014957720413804054,0.01909732
2560,3072000,150,1199,0.03619088531471789,0.2,-2.5814008301496507,0.4436529874801636,1490,-0.005718476119509433,0.0589453125,0.0001,-0.02340696007013321,0.019287938
2562,3092480,151,1206,0.03935005565173924,0.2,-2.5894390189647676,0.48337507247924805,1500,-0.005784575889701955,0.0635400390625,0.0001,-0.013271480798721313,0.022068609
2563,3112960,152,1214,0.044987884145230056,0.2,-2.576631019115448,0.36691588163375854,1510,-0.007185723429429345,0.074736328125,0.0001,-0.02110675536096096,0.022335136
2565,3133440,153,1221,0.04235367747955024,0.2,-2.5672993260622023,0.48297977447509766,1520,-0.005736655255896039,0.055732421875,0.0001,-0.017447788268327713,0.017091082
2566,3153920,154,1228,0.03089100916404277,0.2,-2.5744062727689743,0.42854171991348267,1530,-0.006789300345990341,0.0603564453125,0.0001,-0.03486151248216629,0.02137051
2566,3174400,155,1236,0.03755816509015858,0.2,-2.581322886347771,0.4576302170753479,1540,-0.005674410133506172,0.069619140625,0.0001,-0.02447265014052391,0.02553173
2567,3194880,156,1244,0.03726401110645384,0.2,-2.5556344509124758,0.5025934278964996,1550,-0.005419336900813505,0.0548193359375,0.0001,-0.024177785962820053,0.01686382
2569,3215360,157,1251,0.0444934602221474,0.2,-2.560715121626854,0.4878014326095581,1560,-0.005710794971091673,0.06146484375,0.0001,-0.012948349118232727,0.020025074
2570,3235840,158,1258,0.047046640925109386,0.2,-2.576899901032448,0.46921640634536743,1570,-0.0048558779901941304,0.056083984375,0.0001,-0.022300083190202713,0.018996239
2571,3256320,159,1266,0.03588778523728251,0.2,-2.5676345151662825,0.4705848693847656,1580,-0.005567352401267271,0.05759765625,0.0001,-0.014281999319791794,0.018224608
2573,3276800,160,1273,0.046065779896453024,0.2,-2.585964254140854,0.4268060326576233,1590,-0.007091861862572841,0.06099609375,0.0001,-0.01862184703350067,0.02173084
2574,3297280,161,1280,0.033245926261879506,0.2,-2.583146151304245,0.5482122302055359,1600,-0.004742138693691231,0.0578662109375,0.0001,-0.012291774153709412,0.02115887
2575,3317760,162,1288,0.039970563668757675,0.2,-2.5824175304174424,0.5299152433872223,1610,-0.006202492459269706,0.063955078125,0.0001,-0.02016836777329445,0.01989839
2576,3338240,163,1295,0.030751425861380993,0.2,-2.5882441842556,0.4041863679885864,1620,-0.005644388688378968,0.0629736328125,0.0001,-0.021491993218660355,0.021374155
2578,3358720,164,1302,0.03502123442478478,0.2,-2.5951738703250884,0.5455020368099213,1630,-0.005663775568827987,0.0600830078125,0.0001,-0.015317337587475777,0.020176874
