time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/policy_gradient_loss,train/explained_variance,train/loss,train/learning_rate,train/value_loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/approx_kl,train/clip_range
2127,176,7208960,3387,-0.011448348553676624,0.5686749219894409,-0.032854557037353516,0.0001,0.04589404132915661,0.0806005859375,1750,-3.3340222266316415,0.008888515,0.2
2139,177,7249920,3388,-0.009458050258253935,0.5043986737728119,-0.02588113211095333,0.0001,0.06645179939456285,0.07261962890625,1760,-3.3419718927145006,0.008587706,0.2
2151,178,7290880,3388,-0.009847261813702062,0.32932645082473755,-0.004516612738370895,0.0001,0.08944093423662708,0.07431640625,1770,-3.326465260088444,0.008511134,0.2
2163,179,7331840,3389,-0.011362863377289614,0.4778815507888794,-0.011454228311777115,0.0001,0.0532120008696802,0.0862060546875,1780,-3.3496727302670477,0.0096124,0.2
2175,180,7372800,3389,-0.009995271952211624,0.4919135570526123,-0.020341068506240845,0.0001,0.05515272573335096,0.06947265625,1790,-3.346203136742115,0.008065799,0.2
2186,181,7413760,3390,-0.011657767001597676,0.4151875972747803,-0.03126068413257599,0.0001,0.050424891125876455,0.076650390625,1800,-3.3519953843951225,0.009079507,0.2
2198,182,7454720,3390,-0.010365539419726701,0.37764453887939453,-0.009590845555067062,0.0001,0.06179958041291684,0.0780029296875,1810,-3.3381906625628472,0.008471051,0.2
2210,183,7495680,3390,-0.010867603659280576,0.34810924530029297,-0.02806408517062664,0.0001,0.07388632271438837,0.0771923828125,1820,-3.323575133681297,0.008554727,0.2
2222,184,7536640,3390,-0.010516869983403012,0.37567007541656494,-0.02773350477218628,0.0001,0.056104900788050145,0.0786083984375,1830,-3.328143801987171,0.008501785,0.2
2234,185,7577600,3391,-0.010515682543846196,0.3259415030479431,-0.038790732622146606,0.0001,0.05184821458533406,0.08084716796875,1840,-3.3355356782674788,0.008723817,0.2
2246,186,7618560,3391,-0.011159403619531076,0.34802675247192383,-0.027689129114151,0.0001,0.06680022140732035,0.08319580078125,1850,-3.3233401548862456,0.009050772,0.2
2258,187,7659520,3391,-0.011354772795166355,0.3516532778739929,-0.029941527172923088,0.0001,0.04595430593006313,0.07853515625,1860,-3.3193070355057714,0.008582469,0.2
2269,188,7700480,3392,-0.009229037188051735,0.3824942708015442,-0.008807241916656494,0.0001,0.07731463134521618,0.07237060546875,1870,-3.326482548415661,0.008857718,0.2
2282,189,7741440,3391,-0.01076346840171027,0.3199961185455322,0.01439455896615982,0.0001,0.09331840591738,0.08024169921875,1880,-3.3105326554179193,0.009034152,0.2
2294,190,7782400,3392,-0.010297438020061236,0.34064507484436035,-0.02633822336792946,0.0001,0.06095835197018459,0.07482666015625,1890,-3.312573170363903,0.008465869,0.2
2305,191,7823360,3392,-0.01062145677053195,0.46378016471862793,-0.027879446744918823,0.0001,0.047140652514062825,0.0772705078125,1900,-3.2990877708792685,0.008679246,0.2
2317,192,7864320,3392,-0.0098943804713781,0.41467761993408203,-0.029510347172617912,0.0001,0.06144535270519555,0.077783203125,1910,-3.3030182749032972,0.008788164,0.2
2329,193,7905280,3393,-0.010074508881079964,0.46880871057510376,-0.025267891585826874,0.0001,0.056410829580854624,0.0753955078125,1920,-3.2998078075051307,0.008621422,0.2
2341,194,7946240,3393,-0.010599292150291149,0.4452316164970398,-0.020414430648088455,0.0001,0.05179571370361373,0.07425048828125,1930,-3.313684744536877,0.0086882645,0.2
2353,195,7987200,3393,-0.01051805903261993,0.34939396381378174,-0.0097622349858284,0.0001,0.07200925019569696,0.07148681640625,1940,-3.30390806466341,0.00833025,0.2
2365,196,8028160,3394,-0.010765574348770315,0.4088274836540222,-0.029956551268696785,0.0001,0.06906407421920449,0.079208984375,1950,-3.3113719350099564,0.008423968,0.2
2377,197,8069120,3394,-0.00978410866620834,0.3064693212509155,-0.0337541364133358,0.0001,0.0792808035062626,0.07227294921875,1960,-3.274878290593624,0.008542558,0.2
2388,198,8110080,3395,-0.011412662008951883,0.4270437955856323,-0.03362052142620087,0.0001,0.050609290855936705,0.0757568359375,1970,-3.2941762697696686,0.008655836,0.2
2400,199,8151040,3395,-0.009997026160708628,0.28293800354003906,-0.01620737463235855,0.0001,0.06679815736366436,0.07709716796875,1980,-3.3187776359915735,0.008488545,0.2
2412,200,8192000,3395,-0.011131412550894311,0.34817004203796387,-0.029683604836463928,0.0001,0.05599535970482975,0.071220703125,1990,-3.293724040389061,0.008836006,0.2
2424,201,8232960,3396,-0.010330929023621139,0.33856308460235596,-0.01536581665277481,0.0001,0.07128533591050655,0.073017578125,2000,-3.278573568165302,0.008503291,0.2
2435,202,8273920,3396,-0.009627682946884306,0.47395551204681396,-0.028698371723294258,0.0001,0.05352650095243007,0.07562255859375,2010,-3.295911086797714,0.008395788,0.2
2447,203,8314880,3397,-0.010506622811371926,0.5205415785312653,-0.026129882782697678,0.0001,0.0491032714326866,0.0761328125,2020,-3.281177598834038,0.00887136,0.2
2459,204,8355840,3397,-0.010563688106485643,0.3945581316947937,-0.014737144112586975,0.0001,0.07187456344952807,0.07460693359375,2030,-3.295640610456467,0.009078443,0.2
2471,205,8396800,3397,-0.011363750330929179,0.32491785287857056,-0.01964641362428665,0.0001,0.05978944691829383,0.08149658203125,2040,-3.276042105257511,0.009125421,0.2
2483,206,8437760,3398,-0.010110910953953863,0.37246108055114746,-0.01999334804713726,0.0001,0.05939456467749551,0.064716796875,2050,-3.3033943790197373,0.007888821,0.2
2495,207,8478720,3398,-0.011401449997210876,0.37377142906188965,-0.027812687680125237,0.0001,0.05728409146191552,0.07874267578125,2060,-3.2848827877640723,0.00871675,0.2
2507,208,8519680,3398,-0.009123412296612515,0.30240315198898315,0.00034271925687789917,0.0001,0.11774411042686551,0.07048583984375,2070,-3.295282346904278,0.008416643,0.2
2519,209,8560640,3398,-0.011590689652657603,0.5070337653160095,-0.021317629143595695,0.0001,0.06256021396489814,0.07984130859375,2080,-3.288755924701691,0.00892253,0.2
2531,210,8601600,3398,-0.010751738127146382,0.3858584761619568,-0.011778395622968674,0.0001,0.08216172550339251,0.0761376953125,2090,-3.2817252376675605,0.00836091,0.2
2543,211,8642560,3398,-0.010545056953342282,0.458808958530426,-0.02225550077855587,0.0001,0.06068904774729163,0.08062744140625,2100,-3.2803936663269995,0.008601103,0.2
2555,212,8683520,3398,-0.010413064879685408,0.42657047510147095,-0.022041797637939453,0.0001,0.07452969667036086,0.077939453125,2110,-3.282925358712673,0.008854626,0.2
2566,213,8724480,3398,-0.011406767115113325,0.4168187975883484,-0.03764575347304344,0.0001,0.05402840344002471,0.08094482421875,2120,-3.267812342047691,0.008802471,0.2
2578,214,8765440,3398,-0.01098552089446457,0.44232773780822754,-0.0350993387401104,0.0001,0.0657536744675599,0.07776123046875,2130,-3.2736928898096083,0.008497352,0.2
2590,215,8806400,3399,-0.011642569800460478,0.5093259215354919,-0.02680833265185356,0.0001,0.0637195183779113,0.0856591796875,2140,-3.252534137070179,0.009163531,0.2
2602,216,8847360,3399,-0.010177046551834792,0.4978901743888855,-0.017868516966700554,0.0001,0.06100785497575998,0.07543701171875,2150,-3.23433448523283,0.008650685,0.2
2614,217,8888320,3399,-0.01131068992515793,0.5437953770160675,-0.02212931588292122,0.0001,0.062600470201578,0.0751025390625,2160,-3.2481901749968527,0.008805286,0.2
2626,218,8929280,3399,-0.010768333403539145,0.3194476366043091,-0.0221188236027956,0.0001,0.07756226684898138,0.08049560546875,2170,-3.258211776614189,0.009197427,0.2
2638,219,8970240,3400,-0.009627714079106226,0.33509743213653564,-0.011717081069946289,0.0001,0.09051070353016258,0.07305419921875,2180,-3.2552608221769335,0.008522313,0.2
2650,220,9011200,3400,-0.010584397210041062,0.3893357515335083,-0.0058035291731357574,0.0001,0.07902252056403086,0.07228271484375,2190,-3.2541961151361467,0.008338427,0.2
2661,221,9052160,3400,-0.010819982662796974,0.41233474016189575,-0.013073999434709549,0.0001,0.07107770953793079,0.079208984375,2200,-3.228619340658188,0.008959217,0.2
2673,222,9093120,3400,-0.011542212155472954,0.5773492455482483,-0.031638018786907196,0.0001,0.04705068100243807,0.07576904296875,2210,-3.243071949481964,0.00833925,0.2
2685,223,9134080,3400,-0.010820790186335217,0.33379578590393066,0.001260180026292801,0.0001,0.08069648502394557,0.0817578125,2220,-3.2442053270339968,0.008832591,0.2
2697,224,9175040,3400,-0.01144029869523365,0.37346577644348145,-0.03284852206707001,0.0001,0.06340435649268329,0.078642578125,2230,-3.2467959076166153,0.008773978,0.2
2709,225,9216000,3401,-0.010912607289501466,0.30649542808532715,-0.023072144016623497,0.0001,0.07007857054471969,0.0753662109375,2240,-3.263844654262066,0.008468132,0.2
2721,226,9256960,3401,-0.010097802764503285,0.3779025673866272,-0.013547811657190323,0.0001,0.08218255271436646,0.08055908203125,2250,-3.2153624379634858,0.009197275,0.2
2733,227,9297920,3401,-0.010033612213737797,0.5686042606830597,-0.025153987109661102,0.0001,0.07618216741131618,0.07515625,2260,-3.236930369436741,0.0085892435,0.2
2744,228,9338880,3402,-0.010528072644810892,0.5279289782047272,-0.019086694344878197,0.0001,0.07151249082526193,0.08129150390625,2270,-3.2343054205179214,0.009170931,0.2
